event_id,user_id,session_min,page_views,add_to_cart,revenue_usd,device_score,region_id,day_of_week,hour_utc,anomaly_score
1,1000,2,1,1,0.00,0.00,1,0,0,0.790
2,1001,3,9,0,1.73,0.13,2,1,1,0.243
3,1002,4,17,0,3.46,0.26,3,2,2,0.246
4,1003,5,6,0,5.19,0.39,4,3,3,0.249
5,1004,6,14,0,6.92,0.52,5,4,4,0.252
6,1005,7,22,0,8.65,0.65,6,5,5,0.255
7,1006,8,11,0,10.39,0.78,7,6,6,0.258
8,1007,9,19,0,12.12,0.91,8,0,7,0.261
9,1008,10,27,0,13.85,0.04,9,1,8,0.263
10,1009,11,16,0,15.58,0.17,10,2,9,0.266
11,1010,12,24,0,17.31,0.30,11,3,10,0.269
12,1011,13,13,1,19.04,0.43,12,4,11,0.272
13,1012,14,21,0,20.77,0.56,1,5,12,0.275
14,1013,15,29,0,22.50,0.69,2,6,13,0.277
15,1014,16,18,0,24.23,0.82,3,0,14,0.280
16,1015,17,26,0,25.96,0.95,4,1,15,0.283
17,1016,18,34,0,27.70,0.08,5,2,16,0.285
18,1017,19,23,0,29.43,0.21,6,3,17,0.288
19,1018,20,31,0,31.16,0.34,7,4,18,0.290
20,1019,21,20,0,32.89,0.47,8,5,19,0.293
21,1020,22,28,0,34.62,0.60,9,6,20,0.296
22,1021,23,36,0,36.35,0.73,10,0,21,0.298
23,1022,24,25,1,38.08,0.86,11,1,22,0.300
24,1023,25,33,0,39.81,0.99,12,2,23,0.303
25,1024,26,41,0,41.54,0.12,1,3,0,0.305
26,1025,27,30,0,43.27,0.25,2,4,1,0.307
27,1026,28,38,0,45.01,0.38,3,5,2,0.310
28,1027,29,46,0,46.74,0.51,4,6,3,0.312
29,1028,30,35,0,48.47,0.64,5,0,4,0.314
30,1029,31,43,0,50.20,0.77,6,1,5,0.316
31,1030,32,32,0,51.93,0.90,7,2,6,0.318
32,1031,33,40,0,53.66,0.03,8,3,7,0.320
33,1032,34,48,0,55.39,0.16,9,4,8,0.322
34,1033,35,37,1,57.12,0.29,10,5,9,0.324
35,1034,36,45,0,58.85,0.42,11,6,10,0.326
36,1035,37,53,0,60.58,0.55,12,0,11,0.328
37,1036,38,42,0,62.32,0.68,1,1,12,0.330
38,1037,39,50,0,64.05,0.81,2,2,13,0.331
39,1038,40,39,0,65.78,0.94,3,3,14,0.333
40,1039,41,47,0,67.51,0.07,4,4,15,0.335
41,1040,42,55,0,69.24,0.20,5,5,16,0.336
42,1041,43,44,0,70.97,0.33,6,6,17,0.338
43,1042,44,52,0,72.70,0.46,7,0,18,0.339
44,1043,45,60,0,74.43,0.59,8,1,19,0.341
45,1044,46,49,1,76.16,0.72,9,2,20,0.342
46,1045,2,57,0,77.89,0.85,10,3,21,0.343
47,1046,3,65,0,79.63,0.98,11,4,22,0.344
48,1047,4,54,0,81.36,0.11,12,5,23,0.345
49,1048,5,62,0,83.09,0.24,1,6,0,0.347
50,1049,6,51,0,84.82,0.37,2,0,1,0.348
51,1050,7,59,0,86.55,0.50,3,1,2,0.349
52,1051,8,67,0,88.28,0.63,4,2,3,0.349
53,1052,9,56,0,1.01,0.76,5,3,4,0.350
54,1053,10,64,0,2.74,0.89,6,4,5,0.351
55,1054,11,72,0,4.47,0.02,7,5,6,0.352
56,1055,12,61,1,6.20,0.15,8,6,7,0.352
57,1056,13,69,0,7.94,0.28,9,0,8,0.353
58,1057,14,58,0,9.67,0.41,10,1,9,0.353
59,1058,15,66,0,11.40,0.54,11,2,10,0.354
60,1059,16,74,0,13.13,0.67,12,3,11,0.354
61,1060,17,63,0,14.86,0.80,1,4,12,0.355
62,1061,18,71,0,16.59,0.93,2,5,13,0.355
63,1062,19,79,0,18.32,0.06,3,6,14,0.355
64,1063,20,68,0,20.05,0.19,4,0,15,0.355
65,1064,21,76,0,21.78,0.32,5,1,16,0.355
66,1065,22,84,0,23.51,0.45,6,2,17,0.355
67,1066,23,73,1,25.25,0.58,7,3,18,0.355
68,1067,24,81,0,26.98,0.71,8,4,19,0.355
69,1068,25,70,0,28.71,0.84,9,5,20,0.355
70,1069,26,78,0,30.44,0.97,10,6,21,0.354
71,1070,27,86,0,32.17,0.10,11,0,22,0.354
72,1071,28,75,0,33.90,0.23,12,1,23,0.354
73,1072,29,83,0,35.63,0.36,1,2,0,0.353
74,1073,30,91,0,37.36,0.49,2,3,1,0.352
75,1074,31,80,0,39.09,0.62,3,4,2,0.352
76,1075,32,88,0,40.83,0.75,4,5,3,0.351
77,1076,33,77,0,42.56,0.88,5,6,4,0.350
78,1077,34,85,1,44.29,0.01,6,0,5,0.349
