id,Cycle,Time,Total_Energy,Gas_Energy,Density
1,192,96.238,0.949950,-5.719375,-5.222285
2,219,101.082,0.460392,-3.732436,-5.556714
3,199,95.832,0.565093,-3.856103,-5.426960
4,209,98.251,0.316732,-2.338689,-6.090668
5,204,98.997,0.788130,-4.571688,-5.012516
6,188,108.084,0.347653,-1.938256,-5.830703
7,198,105.279,0.726734,-5.289912,-5.177702
8,184,95.167,0.545605,-4.526488,-5.389428
9,216,95.953,0.826895,-5.242202,-5.491067
10,197,106.783,0.870495,-5.412592,-5.442317
11,208,101.807,0.668834,-4.180662,-5.326440
12,190,105.164,0.710112,-4.581510,-5.753120
13,218,107.631,0.581814,-4.555280,-5.342219
14,196,106.014,0.482123,-3.465893,-5.638977
15,187,95.414,0.731942,-4.879372,-5.019119
16,183,95.356,0.926951,-5.742206,-5.007595
17,192,106.372,0.585342,-4.532612,-5.249058
18,182,95.321,0.727164,-4.945109,-5.342043
19,196,107.840,0.742272,-4.505837,-5.263787
20,203,108.065,0.516770,-3.806166,-5.666129
21,218,96.556,0.701036,-4.508465,-5.089151
22,185,95.171,0.808741,-5.274810,-5.588391
23,197,103.501,0.610814,-4.657771,-4.988439
24,204,95.606,0.898913,-5.093860,-5.449685
25,209,105.205,0.502277,-3.766486,-5.998748
26,203,96.735,0.854721,-5.702468,-6.145467
27,189,95.955,0.619022,-4.454494,-5.527744
28,188,95.005,0.327753,-2.107325,-5.760676
29,196,101.433,0.477024,-3.971498,-5.711566
30,193,108.361,0.561339,-4.144962,-5.584710
31,204,99.302,0.573627,-4.517190,-5.062173
32,200,98.166,0.991810,-5.420567,-5.036741
33,198,103.151,0.752662,-4.798386,-5.136509
34,208,102.214,0.193794,-0.368248,-5.635570
35,198,105.588,0.484762,-3.143266,-5.604531
36,190,102.562,0.677851,-5.165867,-5.561468
37,196,95.652,0.479987,-3.617272,-5.756963
38,189,102.891,0.854690,-5.116216,-5.385041
39,195,96.997,0.911326,-5.611211,-5.368924
40,199,100.400,0.525802,-3.829111,-5.493252
41,184,99.316,0.857706,-4.021109,-5.258749
42,187,95.305,0.684915,-5.259865,-5.486498
43,185,95.119,0.184238,-0.563314,-5.733523
44,202,102.408,0.838278,-4.143520,-5.635403
45,217,102.893,0.728648,-4.839576,-5.367914
46,197,108.794,0.593703,-4.473233,-5.509527
47,181,100.588,0.906708,-5.377920,-4.384300
48,218,96.479,0.472044,-3.323765,-5.612529
49,198,99.351,0.959166,-4.597153,-5.925532
50,217,99.832,0.617313,-4.580144,-5.236758
51,196,98.555,0.594535,-4.027816,-5.505575
52,213,95.626,0.930117,-4.569913,-5.810748
53,181,107.374,0.732916,-4.710233,-5.564396
54,182,99.991,0.159260,-0.335357,-5.920583
55,181,106.350,0.750143,-5.288930,-5.102877
56,190,102.894,0.398405,-3.428690,-6.006177
57,201,107.388,0.450461,-3.540115,-5.408527
58,214,105.125,0.731511,-4.503632,-4.890687
59,185,97.522,0.693875,-4.246985,-5.462742
60,190,105.261,0.923070,-5.488087,-5.751026
61,189,99.745,0.639543,-4.575069,-6.001947
62,195,97.145,0.886841,-4.915658,-5.263038
63,190,108.737,0.749697,-4.914340,-5.090874
64,204,99.808,0.742741,-4.961269,-5.028817
65,197,108.391,0.871040,-4.416741,-5.845494
66,201,97.277,0.729451,-4.463028,-5.255628
67,217,107.680,0.488822,-3.526865,-5.437329
68,203,98.983,0.620875,-4.568827,-5.936543
69,203,105.467,0.525407,-3.455152,-5.477460
70,216,106.432,0.787315,-4.793711,-5.386016
71,205,96.744,0.897254,-5.412234,-5.149357
72,215,96.946,0.807485,-4.977529,-5.584898
73,209,104.412,0.538079,-4.323858,-5.657235
74,206,105.168,0.799300,-4.883247,-5.466232
75,211,96.389,0.403524,-3.365076,-5.548818
76,217,104.309,0.937073,-5.139478,-5.713164
77,195,99.576,0.382697,-3.468578,-5.540851
78,180,106.413,0.661027,-3.636670,-5.800894
79,200,100.694,0.897346,-4.930126,-5.325839
80,218,106.859,0.514306,-3.471075,-5.585446
81,182,95.263,0.745414,-4.924438,-5.528591
82,208,101.577,0.654088,-4.637534,-5.574126
